x,y,z,signal,cytoplasm.p
657,750,13,0.0415146509104898,1
654,749,14,0.0423565011487798,1
657,750,14,0.0471338109340095,1
654,748,15,0.0463601450285246,1
654,749,15,0.0554512884768121,1
654,750,15,0.0432945723432797,1
655,748,15,0.0460254951768898,1
655,749,15,0.0560385842330789,1
655,750,15,0.0449774185557582,1
657,750,15,0.0452337140063931,1
654,748,16,0.046841079497428,1
654,749,16,0.0607139824737014,1
654,750,16,0.0480335510820087,1
655,748,16,0.050031550460364,1
655,749,16,0.0650076706428227,1
655,750,16,0.0518998584906109,1
656,749,16,0.0460729014277846,1
656,750,16,0.0413606103321232,1
657,750,16,0.0416457020524052,1
654,748,17,0.0431902142511668,1
654,749,17,0.0568955192615144,1
654,750,17,0.0505006333665437,1
654,751,17,0.0411194050783687,1
655,748,17,0.0489862880447058,1
655,749,17,0.0636773976079048,1
655,750,17,0.055593582923784,1
655,751,17,0.0423262396539967,1
656,748,17,0.0426891505085315,1
656,749,17,0.0508382569223291,1
656,750,17,0.0460736745908637,1
657,749,17,0.0439140300616186,1
657,750,17,0.0416496057149447,1
658,744,17,0.0417007426128647,1
658,748,17,0.0412359066968856,1
658,749,17,0.046894968423371,1
659,743,17,0.0413560930051817,1
659,744,17,0.0410957100630235,1
653,749,18,0.0419038898602268,1
653,750,18,0.0417733550614867,1
654,748,18,0.0500687650161246,1
654,749,18,0.0653772480013897,1
654,750,18,0.0632351807670418,1
654,751,18,0.0508239236683234,1
655,747,18,0.04306428869386,1
655,748,18,0.06018439279816,1
655,749,18,0.076684444443291,1
655,750,18,0.0699728536495503,1
655,751,18,0.0520107019611395,1
656,747,18,0.045358828553477,1
656,748,18,0.0587764952714427,1
656,749,18,0.0685326022216749,1
656,750,18,0.059848461550373,1
656,751,18,0.0437355186014602,1
657,744,18,0.0430552188962008,1
657,745,18,0.0428147786954232,1
657,746,18,0.042602350787744,1
657,747,18,0.0438452888351272,1
657,748,18,0.0499632904332715,1
657,749,18,0.0537126772014083,1
657,750,18,0.0474063536227762,1
658,743,18,0.056086579818069,1
658,744,18,0.054426598687141,1
658,745,18,0.0435524303402774,1
658,748,18,0.043767883316088,1
658,749,18,0.0459763263304439,1
659,742,18,0.0417159247242371,1
659,743,18,0.059862189250079,1
659,744,18,0.0547043859086822,1
660,743,18,0.0446889827699905,1
653,749,19,0.0465600049811167,1
653,750,19,0.0496098089242613,1
653,751,19,0.0445084464876423,1
654,748,19,0.0562362923052129,1
654,749,19,0.0752371480399462,1
654,750,19,0.0752865818163982,1
654,751,19,0.0597199704973945,1
654,752,19,0.0471391473812761,1
655,745,19,0.0418936440977444,1
655,746,19,0.0416332908926277,1
655,747,19,0.0472825231752119,1
655,748,19,0.0693737279574991,1
655,749,19,0.0909785320619807,1
655,750,19,0.0821174559937202,1
655,751,19,0.06056494582841,1
655,752,19,0.0489007913470097,1
655,753,19,0.0431825610180302,1
656,744,19,0.0429094992827209,1
656,745,19,0.0503706933086336,1
656,746,19,0.0509476135407824,1
656,747,19,0.0524017386502039,1
656,748,19,0.0695994969833447,1
656,749,19,0.0842857134515323,1
656,750,19,0.0703940653256407,1
656,751,19,0.0501650968103984,1
656,752,19,0.0436072303010375,1
657,743,19,0.0465769659082445,1
657,744,19,0.0504987734497659,1
657,745,19,0.0530726279335105,1
657,746,19,0.0550764611787357,1
657,747,19,0.0516574529417266,1
657,748,19,0.0551459917885107,1
657,749,19,0.0603466110629407,1
657,750,19,0.0507819998465352,1
658,742,19,0.0495985250686936,1
658,743,19,0.0706398014231737,1
658,744,19,0.0635921766536845,1
658,745,19,0.0507024451504054,1
658,746,19,0.0502467114724944,1
658,747,19,0.0474328790637992,1
658,748,19,0.0463418810783053,1
658,749,19,0.0471121191139149,1
659,742,19,0.0526140178726756,1
659,743,19,0.0751163399571458,1
659,744,19,0.0625211078927342,1
660,743,19,0.0497546769770072,1
660,744,19,0.0414613648354791,1
645,718,20,0.0430908033214134,1
653,748,20,0.0418034381340208,1
653,749,20,0.0541187986806183,1
653,750,20,0.0601021725817643,1
653,751,20,0.0534487636614131,1
653,752,20,0.0453605046412709,1
654,744,20,0.0511077231789836,1
